Date,State,Group,Time,Unit,Sales
2020-10-03,Australian Capital Territory,Seniors,Afternoon,31.0,1370.82
2020-10-04,New South Wales,Kids,Afternoon,119.0,3218.95
2020-10-04,New South Wales,Women,Night,170.0,10966.7
2020-10-04,New South Wales,Men,Morning,101.0,5204.53
2020-10-04,New South Wales,Seniors,Night,101.0,2528.03
2020-10-04,Victoria,Kids,Night,109.0,5075.04
2020-10-04,Victoria,Women,Night,189.0,14163.66
2020-10-04,Victoria,Men,Evening,70.0,2598.4
2020-10-04,Victoria,Seniors,Morning,101.0,4133.93
2020-10-04,Queensland,Kids,Morning,93.0,7636.23
2020-10-04,Queensland,Women,Evening,137.0,10440.77
2020-10-04,Queensland,Men,Evening,127.0,7378.7
2020-10-04,Queensland,Seniors,Morning,65.0,2813.85
2020-10-04,South Australia,Kids,Evening,41.0,1555.54
2020-10-04,South Australia,Women,Night,66.0,3945.48
2020-10-04,South Australia,Men,Afternoon,111.0,2758.35
2020-10-04,South Australia,Seniors,Night,57.0,1169.64
2020-10-04,Western Australia,Kids,Morning,57.0,2978.82
2020-10-04,Western Australia,Women,Evening,99.0,4127.31
2020-10-04,Western Australia,Men,Afternoon,64.0,3742.08
2020-10-04,Western Australia,Seniors,Morning,46.0,1751.68
2020-10-04,Tasmania,Kids,Evening,31.0,1037.26
2020-10-04,Tasmania,Women,Afternoon,74.0,5060.86
2020-10-04,Tasmania,Men,Afternoon,15.0,779.4
2020-10-04,Tasmania,Seniors,Evening,22.0,971.96
2020-10-04,Northern Territory,Kids,Afternoon,20.0,785.2
2020-10-04,Northern Territory,Women,Morning,44.0,3168.44
2020-10-04,Northern Territory,Men,Evening,21.0,946.68
2020-10-04,Northern Territory,Seniors,Night,20.0,594.6
2020-10-04,Australian Capital Territory,Kids,Morning,61.0,2737.07
2020-10-04,Australian Capital Territory,Women,Morning,36.0,2621.52
2020-10-04,Australian Capital Territory,Men,Evening,81.0,5113.53
2020-10-04,Australian Capital Territory,Seniors,Evening,19.0,595.65
2020-10-05,New South Wales,Kids,Afternoon,155.0,5093.3
2020-10-05,New South Wales,Women,Morning,184.0,12986.72
2020-10-05,New South Wales,Men,Afternoon,99.0,4822.29
2020-10-05,New South Wales,Seniors,Morning,2.0,52.34
2020-10-05,Victoria,Kids,Morning,91.0,2458.82
2020-10-05,Victoria,Women,Night,213.0,7708.47
2020-10-05,Victoria,Men,Morning,105.0,5379.15
2020-10-05,Victoria,Seniors,Afternoon,126.0,2799.72
2020-10-05,Queensland,Kids,Afternoon,109.0,4426.49
2020-10-05,Queensland,Women,Night,82.0,5388.22
2020-10-05,Queensland,Men,Afternoon,104.0,4324.32
2020-10-05,Queensland,Seniors,Evening,73.0,2357.9
2020-10-05,South Australia,Kids,Night,55.0,2620.75
2020-10-05,South Australia,Women,Afternoon,115.0,4506.85
2020-10-05,South Australia,Men,Afternoon,108.0,2562.84
2020-10-05,South Australia,Seniors,Evening,45.0,1874.25
2020-10-05,Western Australia,Kids,Night,73.0,2465.21
2020-10-05,Western Australia,Women,Evening,91.0,4623.71
2020-10-05,Western Australia,Men,Night,67.0,4067.57
2020-10-05,Western Australia,Seniors,Night,66.0,1937.1
2020-10-05,Tasmania,Kids,Morning,40.0,1752.8
2020-10-05,Tasmania,Women,Afternoon,56.0,3825.92
2020-10-05,Tasmania,Men,Afternoon,28.0,1179.08
2020-10-05,Tasmania,Seniors,Morning,34.0,1423.24
2020-10-05,Northern Territory,Kids,Evening,26.0,1086.02
2020-10-05,Northern Territory,Women,Morning,53.0,2611.31
2020-10-05,Northern Territory,Men,Afternoon,38.0,1779.54
2020-10-05,Northern Territory,Seniors,Afternoon,22.0,1024.1
2020-10-05,Australian Capital Territory,Kids,Morning,50.0,2464.5
2020-10-05,Australian Capital Territory,Women,Morning,81.0,4765.23
2020-10-05,Australian Capital Territory,Men,Morning,59.0,2678.6
2020-10-05,Australian Capital Territory,Seniors,Afternoon,39.0,1355.25
2020-10-06,New South Wales,Kids,Morning,115.0,5396.95
2020-10-06,New South Wales,Women,Morning,122.0,11119.08
2020-10-06,New South Wales,Men,Evening,96.0,3213.12
2020-10-06,New South Wales,Seniors,Morning,134.0,5842.4
2020-10-06,Victoria,Kids,Afternoon,117.0,5532.93
2020-10-06,Victoria,Women,Evening,142.0,6319.0
2020-10-06,Victoria,Men,Night,123.0,4988.88
2020-10-06,Victoria,Seniors,Afternoon,113.0,3908.67
2020-10-06,Queensland,Kids,Afternoon,60.0,2221.8
2020-10-06,Queensland,Women,Night,131.0,6512.01
2020-10-06,Queensland,Men,Afternoon,74.0,3901.28
2020-10-06,Queensland,Seniors,Night,77.0,2397.01
2020-10-06,South Australia,Kids,Night,46.0,1978.46
2020-10-06,South Australia,Women,Afternoon,44.0,1607.76
2020-10-06,South Australia,Men,Morning,51.0,2380.68
2020-10-06,South Australia,Seniors,Morning,52.0,2608.32
2020-10-06,Western Australia,Kids,Night,84.0,3256.68
2020-10-06,Western Australia,Women,Evening,96.0,4114.56
2020-10-06,Western Australia,Men,Night,82.0,3746.58
2020-10-06,Western Australia,Seniors,Night,65.0,1823.9
2020-10-06,Tasmania,Kids,Night,36.0,2053.8
2020-10-06,Tasmania,Women,Morning,44.0,2849.88
2020-10-06,Tasmania,Men,Morning,46.0,
2020-10-06,Tasmania,Seniors,Morning,,1047.48
2020-10-06,Northern Territory,Kids,Night,27.0,868.05
2020-10-06,Northern Territory,Women,Evening,39.0,2584.53
2020-10-06,Northern Territory,Men,Morning,47.0,2921.52
2020-10-06,Northern Territory,Seniors,Afternoon,39.0,1116.57
2020-10-06,Australian Capital Territory,Kids,Afternoon,51.0,2166.48
2020-10-06,Australian Capital Territory,Women,Afternoon,96.0,4405.44
2020-10-06,Australian Capital Territory,Men,Night,37.0,1538.83
2020-10-06,Australian Capital Territory,Seniors,Afternoon,13.0,402.35
2020-10-07,New South Wales,Kids,Night,86.0,3622.32
2020-10-07,New South Wales,Women,Afternoon,179.0,15710.83
2020-10-07,New South Wales,Men,Evening,176.0,7370.88
2020-10-07,New South Wales,Seniors,Night,73.0,2972.56
2020-10-07,Victoria,Kids,Afternoon,59.0,3556.52
2020-10-07,Victoria,Women,Morning,193.0,9877.74
2020-10-07,Victoria,Men,Night,58.0,3907.46
2020-10-07,Victoria,Seniors,Morning,84.0,4021.92
2020-10-07,Queensland,Kids,Morning,42.0,1429.26
2020-10-07,Queensland,Women,Morning,117.0,6929.91
2020-10-07,Queensland,Men,Morning,85.0,4906.2
2020-10-07,Queensland,Seniors,Afternoon,48.0,1662.24
2020-10-07,South Australia,Kids,Afternoon,55.0,2533.3
2020-10-07,South Australia,Women,Night,94.0,3850.24
2020-10-07,South Australia,Men,Night,35.0,2322.95
2020-10-07,South Australia,Seniors,Night,52.0,1498.12
2020-10-07,Western Australia,Kids,Afternoon,98.0,4091.5
2020-10-07,Western Australia,Women,Night,131.0,7801.05
2020-10-07,Western Australia,Men,Morning,133.0,9665.11
2020-10-07,Western Australia,Seniors,Afternoon,55.0,2493.15
2020-10-07,Tasmania,Kids,Night,37.0,2045.36
2020-10-07,Tasmania,Women,Morning,32.0,2214.4
2020-10-07,Tasmania,Men,Night,50.0,1314.0
2020-10-07,Tasmania,Seniors,Evening,18.0,295.56
2020-10-07,Northern Territory,Kids,Night,24.0,1158.0
2020-10-07,Northern Territory,Women,Evening,56.0,3340.96
2020-10-07,Northern Territory,Men,Night,49.0,1532.72
2020-10-07,Northern Territory,Seniors,Night,11.0,390.17
2020-10-07,Australian Capital Territory,Kids,Afternoon,45.0,1806.75
2020-10-07,Australian Capital Territory,Women,Afternoon,22.0,1256.42
2020-10-07,Australian Capital Territory,Men,Evening,30.0,1750.2
2020-10-07,Australian Capital Territory,Seniors,Afternoon,39.0,1052.22
2020-10-08,New South Wales,Kids,Morning,95.0,2760.7
2020-10-08,New South Wales,Women,Morning,159.0,11670.6
2020-10-08,New South Wales,Men,Evening,96.0,5390.4
2020-10-08,New South Wales,Seniors,Morning,84.0,2384.76
2020-10-08,Victoria,Kids,Morning,95.0,2785.4
2020-10-08,Victoria,Women,Night,119.0,4737.39
2020-10-08,Victoria,Men,Afternoon,192.0,9594.24
2020-10-08,Victoria,Seniors,Morning,69.0,2625.45
2020-10-08,Queensland,Kids,Morning,78.0,2972.58
2020-10-08,Queensland,Women,Afternoon,138.0,9704.16
2020-10-08,Queensland,Men,Morning,83.0,3477.7
2020-10-08,Queensland,Seniors,Morning,66.0,917.4
2020-10-08,South Australia,Kids,Afternoon,29.0,1602.54
2020-10-08,South Australia,Women,Night,116.0,6335.92
2020-10-08,South Australia,Men,Morning,77.0,4127.97
2020-10-08,South Australia,Seniors,Afternoon,92.0,4301.0
2020-10-08,Western Australia,Kids,Morning,64.0,1931.52
2020-10-08,Western Australia,Women,Morning,50.0,3083.5
2020-10-08,Western Australia,Men,Night,63.0,1935.99
2020-10-08,Western Australia,Seniors,Evening,48.0,1229.76
2020-10-08,Tasmania,Kids,Evening,47.0,2350.94
2020-10-08,Tasmania,Women,Afternoon,45.0,3671.55
2020-10-08,Tasmania,Men,Evening,39.0,1487.07
2020-10-08,Tasmania,Seniors,Afternoon,40.0,1646.8
2020-10-08,Northern Territory,Kids,Evening,18.0,691.92
2020-10-08,Northern Territory,Women,Night,28.0,1034.04
2020-10-08,Northern Territory,Men,Afternoon,42.0,3137.4
2020-10-08,Northern Territory,Seniors,Evening,13.0,538.2
2020-10-08,Australian Capital Territory,Kids,Night,32.0,1127.68
2020-10-08,Australian Capital Territory,Women,Evening,48.0,2160.96
2020-10-08,Australian Capital Territory,Men,Morning,50.0,1926.5
2020-10-08,Australian Capital Territory,Seniors,Morning,38.0,1349.76
2020-10-09,New South Wales,Kids,Night,104.0,3192.8
2020-10-09,New South Wales,Women,Morning,134.0,9417.52
2020-10-09,New South Wales,Men,Morning,158.0,5782.8
2020-10-09,New South Wales,Seniors,Afternoon,102.0,4407.42
2020-10-09,Victoria,Kids,Evening,49.0,2272.13
2020-10-09,Victoria,Women,Afternoon,114.0,
2020-10-09,Victoria,Men,Evening,93.0,2388.24
2020-10-09,Victoria,Seniors,Morning,45.0,1640.7
2020-10-09,Queensland,Kids,Afternoon,87.0,2673.51
2020-10-09,Queensland,Women,Evening,139.0,4528.62
2020-10-09,Queensland,Men,Evening,97.0,3250.47
2020-10-09,Queensland,Seniors,Afternoon,57.0,2078.22
2020-10-09,South Australia,Kids,Night,40.0,1454.0
2020-10-09,South Australia,Women,Evening,101.0,4999.5
2020-10-09,South Australia,Men,Morning,82.0,2836.38
2020-10-09,South Australia,Seniors,Evening,55.0,2741.2
2020-10-09,Western Australia,Kids,Morning,17.0,542.13
2020-10-09,Western Australia,Women,Afternoon,114.0,6307.62
2020-10-09,Western Australia,Men,Evening,91.0,3779.23
2020-10-09,Western Australia,Seniors,Morning,61.0,2105.11
2020-10-09,Tasmania,Kids,Morning,42.0,1816.5
2020-10-09,Tasmania,Women,Afternoon,50.0,2603.5
2020-10-09,Tasmania,Men,Evening,32.0,1401.28
2020-10-09,Tasmania,Seniors,Evening,31.0,990.76
2020-10-09,Northern Territory,Kids,Afternoon,29.0,1824.39
2020-10-09,Northern Territory,Women,Evening,49.0,2617.09
2020-10-09,Northern Territory,Men,Afternoon,,1940.84
2020-10-09,Northern Territory,Seniors,Evening,9.0,236.88
2020-10-09,Australian Capital Territory,Kids,Night,17.0,623.9
2020-10-09,Australian Capital Territory,Women,Evening,58.0,4909.7
2020-10-09,Australian Capital Territory,Men,Morning,54.0,2516.94
2020-10-09,Australian Capital Territory,Seniors,Morning,44.0,649.88
2020-10-10,New South Wales,Kids,Night,120.0,5859.6
2020-10-10,New South Wales,Women,Evening,90.0,6870.6
2020-10-10,New South Wales,Men,Morning,151.0,6647.02
2020-10-10,New South Wales,Seniors,Morning,118.0,6820.4
2020-10-10,Victoria,Kids,Evening,104.0,4490.72
2020-10-10,Victoria,Women,Afternoon,123.0,5564.52
2020-10-10,Victoria,Men,Evening,,5768.2
2020-10-10,Victoria,Seniors,Afternoon,89.0,2795.49
2020-10-10,Queensland,Kids,Night,92.0,4057.2
2020-10-10,Queensland,Women,Night,153.0,7732.62
2020-10-10,Queensland,Men,Morning,90.0,3292.2
2020-10-10,Queensland,Seniors,Morning,62.0,2456.44
2020-10-10,South Australia,Kids,Morning,66.0,
2020-10-10,South Australia,Women,Afternoon,98.0,7805.7
2020-10-10,South Australia,Men,Morning,74.0,5495.98
2020-10-10,South Australia,Seniors,Evening,36.0,865.8
2020-10-10,Western Australia,Kids,Afternoon,31.0,
2020-10-10,Western Australia,Women,Night,116.0,6685.08
2020-10-10,Western Australia,Men,Afternoon,89.0,3082.96
2020-10-10,Western Australia,Seniors,Morning,104.0,3872.96
2020-10-10,Tasmania,Kids,Evening,32.0,1546.88
2020-10-10,Tasmania,Women,Evening,52.0,3223.48
2020-10-10,Tasmania,Men,Morning,29.0,1615.88
2020-10-10,Tasmania,Seniors,Evening,43.0,2103.56
2020-10-10,Northern Territory,Kids,Afternoon,39.0,1364.22
2020-10-10,Northern Territory,Women,Afternoon,27.0,1526.58
2020-10-10,Northern Territory,Men,Morning,33.0,2110.02
2020-10-10,Northern Territory,Seniors,Evening,11.0,557.48
2020-10-10,Australian Capital Territory,Kids,Night,38.0,1363.82
2020-10-10,Australian Capital Territory,Women,Afternoon,40.0,1307.2
2020-10-10,Australian Capital Territory,Men,Afternoon,61.0,3078.67
2020-10-10,Australian Capital Territory,Seniors,Afternoon,22.0,518.54
2020-10-11,New South Wales,Kids,Afternoon,101.0,5911.53
2020-10-11,New South Wales,Women,Night,149.0,5222.45
2020-10-11,New South Wales,Men,Morning,127.0,5829.3
2020-10-11,New South Wales,Seniors,Afternoon,19.0,674.12
2020-10-11,Victoria,Kids,Evening,92.0,4417.84
2020-10-11,Victoria,Women,Night,222.0,16887.54
2020-10-11,Victoria,Men,Afternoon,111.0,3872.79
2020-10-11,Victoria,Seniors,Evening,155.0,5668.35
2020-10-11,Queensland,Kids,Afternoon,81.0,3259.44
2020-10-11,Queensland,Women,Morning,123.0,6918.75
2020-10-11,Queensland,Men,Night,81.0,3424.68
2020-10-11,Queensland,Seniors,Morning,71.0,2185.38
2020-10-11,South Australia,Kids,Night,42.0,1749.3
2020-10-11,South Australia,Women,Afternoon,72.0,5901.12
2020-10-11,South Australia,Men,Afternoon,13.0,830.83
2020-10-11,South Australia,Seniors,Night,65.0,1046.5
2020-10-11,Western Australia,Kids,Evening,60.0,2189.4
2020-10-11,Western Australia,Women,Evening,56.0,
2020-10-11,Western Australia,Men,Afternoon,55.0,3994.65
2020-10-11,Western Australia,Seniors,Afternoon,76.0,3663.96
2020-10-11,Tasmania,Kids,Morning,38.0,1075.78
2020-10-11,Tasmania,Women,Afternoon,38.0,2512.94
2020-10-11,Tasmania,Men,Night,24.0,1413.84
2020-10-11,Tasmania,Seniors,Evening,25.0,810.0
2020-10-11,Northern Territory,Kids,Evening,,1449.6
2020-10-11,Northern Territory,Women,Morning,34.0,2604.06
2020-10-11,Northern Territory,Men,Evening,22.0,1267.86
2020-10-11,Northern Territory,Seniors,Evening,28.0,924.84
2020-10-11,Australian Capital Territory,Kids,Night,44.0,1187.56
2020-10-11,Australian Capital Territory,Women,Evening,74.0,4115.88
2020-10-11,Australian Capital Territory,Men,Morning,41.0,2597.35
2020-10-11,Australian Capital Territory,Seniors,Morning,28.0,629.44
2020-10-12,New South Wales,Kids,Evening,59.0,2775.36
2020-10-12,New South Wales,Women,Afternoon,100.0,8587.0
2020-10-12,New South Wales,Men,Evening,51.0,3666.39
2020-10-12,New South Wales,Seniors,Morning,106.0,3717.42
2020-10-12,Victoria,Kids,Morning,82.0,3674.42
2020-10-12,Victoria,Women,Night,141.0,10675.11
2020-10-12,Victoria,Men,Evening,125.0,6435.0
2020-10-12,Victoria,Seniors,Evening,78.0,2765.1
2020-10-12,Queensland,Kids,Night,88.0,1938.64
2020-10-12,Queensland,Women,Morning,69.0,4836.21
2020-10-12,Queensland,Men,Night,104.0,4895.28
2020-10-12,Queensland,Seniors,Afternoon,72.0,2832.48
2020-10-12,South Australia,Kids,Evening,45.0,1444.05
2020-10-12,South Australia,Women,Morning,82.0,3545.68
2020-10-12,South Australia,Men,Night,74.0,2000.22
2020-10-12,South Australia,Seniors,Morning,62.0,2513.48
2020-10-12,Western Australia,Kids,Afternoon,72.0,3679.92
2020-10-12,Western Australia,Women,Evening,146.0,10850.72
2020-10-12,Western Australia,Men,Night,36.0,1173.96
2020-10-12,Western Australia,Seniors,Morning,48.0,1740.0
2020-10-12,Tasmania,Kids,Evening,36.0,1175.76
2020-10-12,Tasmania,Women,Evening,48.0,2242.56
2020-10-12,Tasmania,Men,Morning,31.0,958.83
2020-10-12,Tasmania,Seniors,Evening,20.0,460.4
2020-10-12,Northern Territory,Kids,Evening,19.0,985.72
2020-10-12,Northern Territory,Women,Night,27.0,2688.39
2020-10-12,Northern Territory,Men,Evening,37.0,1921.78
2020-10-12,Northern Territory,Seniors,Night,17.0,726.24
2020-10-12,Australian Capital Territory,Kids,Evening,33.0,1380.06
2020-10-12,Australian Capital Territory,Women,Afternoon,103.0,5871.0
2020-10-12,Australian Capital Territory,Men,Afternoon,66.0,2654.52
2020-10-12,Australian Capital Territory,Seniors,Night,35.0,1855.0
2020-10-13,New South Wales,Kids,Night,91.0,5466.37
2020-10-13,New South Wales,Women,Afternoon,197.0,9796.81
2020-10-13,New South Wales,Men,Evening,163.0,10161.42
2020-10-13,New South Wales,Seniors,Night,118.0,2469.74
2020-10-13,Victoria,Kids,Morning,77.0,2912.91
2020-10-13,Victoria,Women,Evening,139.0,9477.02
2020-10-13,Victoria,Men,Evening,127.0,4047.49
2020-10-13,Victoria,Seniors,Afternoon,98.0,4102.28
2020-10-13,Queensland,Kids,Night,94.0,4903.98
2020-10-13,Queensland,Women,Evening,146.0,9586.36
2020-10-13,Queensland,Men,Night,96.0,2647.68
2020-10-13,Queensland,Seniors,Night,81.0,3077.19
2020-10-13,South Australia,Kids,Night,58.0,1549.18
2020-10-13,South Australia,Women,Afternoon,52.0,3896.36
2020-10-13,South Australia,Men,Night,65.0,3802.5
2020-10-13,South Australia,Seniors,Afternoon,48.0,1741.92
2020-10-13,Western Australia,Kids,Morning,86.0,3003.98
2020-10-13,Western Australia,Women,Evening,100.0,5129.0
2020-10-13,Western Australia,Men,Evening,71.0,3224.82
2020-10-13,Western Australia,Seniors,Morning,63.0,
2020-10-13,Tasmania,Kids,Afternoon,43.0,1326.12
2020-10-13,Tasmania,Women,Evening,42.0,2168.88
2020-10-13,Tasmania,Men,Afternoon,55.0,2864.95
2020-10-13,Tasmania,Seniors,Afternoon,36.0,782.64
2020-10-13,Northern Territory,Kids,Afternoon,29.0,1453.19
2020-10-13,Northern Territory,Women,Morning,39.0,2929.68
2020-10-13,Northern Territory,Men,Morning,27.0,1838.7
2020-10-13,Northern Territory,Seniors,Afternoon,40.0,1300.8
2020-10-13,Australian Capital Territory,Kids,Night,35.0,1967.0
2020-10-13,Australian Capital Territory,Women,Morning,86.0,4329.24
2020-10-13,Australian Capital Territory,Men,Night,43.0,1968.54
2020-10-13,Australian Capital Territory,Seniors,Night,21.0,570.78
2020-10-14,New South Wales,Kids,Afternoon,78.0,2512.38
2020-10-14,New South Wales,Women,Night,160.0,9944.0
2020-10-14,New South Wales,Men,Night,201.0,7300.32
2020-10-14,New South Wales,Seniors,Night,129.0,4379.55
2020-10-14,Victoria,Kids,Afternoon,97.0,4635.63
2020-10-14,Victoria,Women,Afternoon,94.0,6060.18
2020-10-14,Victoria,Men,Morning,127.0,7112.0
2020-10-14,Victoria,Seniors,Morning,95.0,5659.15
2020-10-14,Queensland,Kids,Night,65.0,2260.05
2020-10-14,Queensland,Women,Afternoon,95.0,4733.85
2020-10-14,Queensland,Men,Afternoon,80.0,5216.0
2020-10-14,Queensland,Seniors,Night,102.0,3113.04
2020-10-14,South Australia,Kids,Morning,40.0,1823.6
2020-10-14,South Australia,Women,Afternoon,65.0,4444.05
2020-10-14,South Australia,Men,Morning,70.0,2064.3
2020-10-14,South Australia,Seniors,Night,70.0,3726.8
2020-10-14,Western Australia,Kids,Afternoon,55.0,1997.05
2020-10-14,Western Australia,Women,Night,105.0,6690.6
2020-10-14,Western Australia,Men,Evening,98.0,7450.94
2020-10-14,Western Australia,Seniors,Night,56.0,1587.04
2020-10-14,Tasmania,Kids,Night,18.0,586.98
2020-10-14,Tasmania,Women,Night,45.0,3892.5
2020-10-14,Tasmania,Men,Afternoon,32.0,1678.4
2020-10-14,Tasmania,Seniors,Night,27.0,1280.07
2020-10-14,Northern Territory,Kids,Night,47.0,1634.19
2020-10-14,Northern Territory,Women,Evening,33.0,2468.07
2020-10-14,Northern Territory,Men,Afternoon,39.0,2881.32
2020-10-14,Northern Territory,Seniors,Evening,28.0,911.4
2020-10-14,Australian Capital Territory,Kids,Night,47.0,2466.09
2020-10-14,Australian Capital Territory,Women,Afternoon,72.0,4781.52
2020-10-14,Australian Capital Territory,Men,Evening,65.0,4220.45
2020-10-14,Australian Capital Territory,Seniors,Night,50.0,2111.5
2020-10-15,New South Wales,Kids,Morning,106.0,4460.48
2020-10-15,New South Wales,Women,Evening,221.0,10112.96
2020-10-15,New South Wales,Men,Afternoon,152.0,6735.12
2020-10-15,New South Wales,Seniors,Evening,100.0,4827.0
2020-10-15,Victoria,Kids,Evening,104.0,4264.0
2020-10-15,Victoria,Women,Evening,84.0,5891.76
2020-10-15,Victoria,Men,Morning,144.0,11239.2
2020-10-15,Victoria,Seniors,Afternoon,79.0,3009.9
2020-10-15,Queensland,Kids,Afternoon,87.0,5005.98
2020-10-15,Queensland,Women,Afternoon,113.0,7102.05
2020-10-15,Queensland,Men,Night,117.0,6079.32
2020-10-15,Queensland,Seniors,Afternoon,62.0,2347.32
2020-10-15,South Australia,Kids,Afternoon,71.0,2088.11
2020-10-15,South Australia,Women,Morning,81.0,3853.98
2020-10-15,South Australia,Men,Night,89.0,2615.71
